CAN Message; 0x24:0029ff6119d379c7
Timestamp;Amplitude
1739209595.4035976;-31.141103565318915
1739209595.4036026;-33.981070128970906
1739209595.4036078;-38.13080360867914
1739209595.4036129;-33.981070128970906
1739209595.403618;-32.816014438256545
1739209595.403623;-45.120503652039325
1739209595.4036283;-38.13080360867914
1739209595.4036334;-38.13080360867914
1739209595.4036386;-38.13080360867914
1739209595.4036438;-38.13080360867914
1739209595.4036489;-45.120503652039325
1739209595.403654;-33.981070128970906
1739209595.403659;-45.120503652039325
1739209595.4036644;-45.120503652039325
1739209595.4036694;-45.120503652039325
1739209595.4036746;-45.120503652039325
1739209595.4036796;-38.13080360867914
1739209595.4036849;-45.120503652039325
1739209595.40369;-38.13080360867914
1739209595.403695;-38.13080360867914
1739209595.4037004;-45.120503652039325
1739209595.4037054;-45.120503652039325
1739209595.4037106;-45.120503652039325
1739209595.4037156;-38.13080360867914
1739209595.4037209;-38.13080360867914
1739209595.4037259;-38.13080360867914
1739209595.403731;-45.120503652039325
1739209595.403736;-38.13080360867914
1739209595.4037414;-38.13080360867914
1739209595.4037466;-38.13080360867914
1739209595.4037516;-38.13080360867914
1739209595.4037569;-45.120503652039325
1739209595.4037619;-45.120503652039325
1739209595.403767;-45.120503652039325
1739209595.403772;-45.120503652039325
1739209595.4037774;-45.120503652039325
1739209595.4037824;-38.13080360867914
1739209595.4037876;-38.13080360867914
1739209595.4037929;-38.13080360867914
1739209595.4037979;-45.120503652039325
1739209595.403803;-45.120503652039325
1739209595.403808;-33.981070128970906
1739209595.4038134;-35.57807855764607
1739209595.4038184;-38.13080360867914
1739209595.4038236;-38.13080360867914
1739209595.4038286;-35.57807855764607
1739209595.4038339;-38.13080360867914
1739209595.403839;-38.13080360867914
1739209595.403844;-38.13080360867914
1739209595.4038494;-38.13080360867914
1739209595.4038544;-45.120503652039325
1739209595.4038596;-38.13080360867914
1739209595.4038646;-38.13080360867914
1739209595.4038699;-38.13080360867914
1739209595.4038749;-35.57807855764607
1739209595.4038801;-38.13080360867914
1739209595.4038854;-35.57807855764607
1739209595.4038904;-45.120503652039325
1739209595.4038956;-45.120503652039325
1739209595.4039006;-45.120503652039325
1739209595.4039059;-45.120503652039325
1739209595.4039109;-45.120503652039325
1739209595.4039161;-45.120503652039325
1739209595.4039211;-45.120503652039325
1739209595.4039264;-45.120503652039325
1739209595.4039314;-35.57807855764607
1739209595.4039366;-35.57807855764607
1739209595.4039419;-45.120503652039325
1739209595.4039469;-45.120503652039325
1739209595.4039521;-33.981070128970906
