CAN Message; 0x24:0f0905a31dbbf3cc
Timestamp;Amplitude
1739209795.9880278;-35.57807855764607
1739209795.9880354;-38.13080360867914
1739209795.988043;-45.120503652039325
1739209795.9880507;-45.120503652039325
1739209795.9880583;-45.120503652039325
1739209795.988066;-45.120503652039325
1739209795.9880736;-45.120503652039325
1739209795.9880812;-45.120503652039325
1739209795.9880888;-38.13080360867914
1739209795.9880965;-38.13080360867914
1739209795.988104;-45.120503652039325
1739209795.9881117;-32.816014438256545
1739209795.9881194;-45.120503652039325
1739209795.988127;-45.120503652039325
1739209795.9881346;-45.120503652039325
1739209795.9881423;-35.57807855764607
1739209795.98815;-38.13080360867914
1739209795.9881575;-45.120503652039325
1739209795.9881651;-38.13080360867914
1739209795.9881728;-38.13080360867914
1739209795.9881804;-45.120503652039325
1739209795.988188;-45.120503652039325
1739209795.9881957;-45.120503652039325
1739209795.9882033;-45.120503652039325
1739209795.988211;-45.120503652039325
1739209795.9882185;-45.120503652039325
1739209795.9882262;-45.120503652039325
1739209795.9882338;-38.13080360867914
1739209795.9882414;-33.981070128970906
1739209795.988249;-45.120503652039325
1739209795.9882567;-38.13080360867914
1739209795.9882643;-35.57807855764607
1739209795.988272;-45.120503652039325
1739209795.9882796;-45.120503652039325
1739209795.9882872;-38.13080360867914
1739209795.9882948;-32.816014438256545
1739209795.9883025;-38.13080360867914
1739209795.98831;-45.120503652039325
1739209795.9883177;-45.120503652039325
1739209795.9883254;-38.13080360867914
1739209795.988333;-38.13080360867914
1739209795.9883406;-45.120503652039325
1739209795.9883482;-33.981070128970906
1739209795.9883559;-38.13080360867914
1739209795.9883635;-45.120503652039325
1739209795.9883711;-38.13080360867914
1739209795.9883788;-38.13080360867914
1739209795.9883864;-38.13080360867914
1739209795.988394;-38.13080360867914
1739209795.9884017;-45.120503652039325
1739209795.9884093;-38.13080360867914
1739209795.988417;-25.826314394896354
1739209795.9884245;-33.981070128970906
1739209795.9884322;-45.120503652039325
1739209795.9884398;-45.120503652039325
1739209795.9884474;-32.816014438256545
1739209795.988455;-35.57807855764607
1739209795.9884627;-45.120503652039325
1739209795.9884703;-38.13080360867914
1739209795.988478;-45.120503652039325
1739209795.9884856;-45.120503652039325
1739209795.9884932;-38.13080360867914
1739209795.9885008;-38.13080360867914
1739209795.9885085;-45.120503652039325
1739209795.988516;-45.120503652039325
1739209795.9885237;-38.13080360867914
1739209795.9885314;-45.120503652039325
1739209795.988539;-38.13080360867914
1739209795.9885466;-38.13080360867914
1739209795.9885542;-45.120503652039325
1739209795.9885619;-38.13080360867914
1739209795.9885695;-38.13080360867914
1739209795.9885771;-38.13080360867914
1739209795.9885848;-38.13080360867914
1739209795.9885924;-45.120503652039325
1739209795.9886;-33.981070128970906
1739209795.9886076;-32.816014438256545
1739209795.9886153;-45.120503652039325
1739209795.988623;-45.120503652039325
1739209795.9886305;-38.13080360867914
1739209795.9886382;-38.13080360867914
1739209795.9886458;-45.120503652039325
1739209795.9886534;-33.981070128970906
1739209795.988661;-45.120503652039325
1739209795.9886687;-45.120503652039325
1739209795.9886763;-45.120503652039325
1739209795.988684;-45.120503652039325
1739209795.9886916;-45.120503652039325
1739209795.9886992;-45.120503652039325
1739209795.9887068;-38.13080360867914
1739209795.9887145;-38.13080360867914
