CAN Message; 0x62:03ae5063cb4657ae
Timestamp;Amplitude
1739209726.9105098;-45.120503652039325
1739209726.910516;-38.13080360867914
1739209726.910522;-35.57807855764607
1739209726.910528;-35.57807855764607
1739209726.910534;-38.13080360867914
1739209726.91054;-45.120503652039325
1739209726.910546;-38.13080360867914
1739209726.910552;-38.13080360867914
1739209726.9105582;-45.120503652039325
1739209726.9105642;-45.120503652039325
1739209726.9105701;-45.120503652039325
1739209726.910576;-38.13080360867914
1739209726.9105823;-38.13080360867914
1739209726.9105883;-38.13080360867914
1739209726.9105942;-45.120503652039325
1739209726.9106002;-38.13080360867914
1739209726.9106064;-38.13080360867914
1739209726.9106123;-33.981070128970906
1739209726.9106183;-45.120503652039325
1739209726.9106245;-45.120503652039325
1739209726.9106305;-35.57807855764607
1739209726.9106364;-38.13080360867914
1739209726.9106424;-45.120503652039325
1739209726.9106486;-38.13080360867914
1739209726.9106545;-38.13080360867914
1739209726.9106605;-45.120503652039325
1739209726.9106667;-45.120503652039325
1739209726.9106727;-45.120503652039325
1739209726.9106786;-38.13080360867914
1739209726.9106846;-33.981070128970906
1739209726.9106908;-38.13080360867914
1739209726.9106967;-38.13080360867914
1739209726.9107027;-35.57807855764607
1739209726.9107087;-35.57807855764607
1739209726.9107149;-38.13080360867914
1739209726.9107208;-45.120503652039325
1739209726.9107268;-38.13080360867914
1739209726.910733;-35.57807855764607
1739209726.910739;-38.13080360867914
1739209726.910745;-45.120503652039325
1739209726.9107509;-38.13080360867914
1739209726.910757;-45.120503652039325
1739209726.910763;-45.120503652039325
1739209726.910769;-38.13080360867914
1739209726.9107752;-38.13080360867914
1739209726.9107811;-38.13080360867914
1739209726.910787;-45.120503652039325
1739209726.910793;-38.13080360867914
1739209726.9107993;-38.13080360867914
1739209726.9108052;-38.13080360867914
1739209726.9108112;-45.120503652039325
1739209726.9108174;-38.13080360867914
1739209726.9108233;-45.120503652039325
1739209726.9108293;-38.13080360867914
1739209726.9108353;-35.57807855764607
1739209726.9108415;-45.120503652039325
1739209726.9108474;-45.120503652039325
1739209726.9108534;-45.120503652039325
1739209726.9108593;-32.816014438256545
1739209726.9108655;-38.13080360867914
1739209726.9108715;-45.120503652039325
1739209726.9108775;-45.120503652039325
1739209726.9108837;-45.120503652039325
1739209726.9108896;-45.120503652039325
1739209726.9108956;-45.120503652039325
1739209726.9109015;-38.13080360867914
1739209726.9109077;-45.120503652039325
1739209726.9109137;-38.13080360867914
1739209726.9109197;-38.13080360867914
1739209726.9109259;-38.13080360867914
1739209726.9109318;-32.816014438256545
1739209726.9109378;-38.13080360867914
1739209726.9109437;-45.120503652039325
1739209726.91095;-45.120503652039325
1739209726.910956;-32.816014438256545
1739209726.9109619;-38.13080360867914
1739209726.910968;-45.120503652039325
1739209726.910974;-45.120503652039325
1739209726.91098;-45.120503652039325
1739209726.910986;-45.120503652039325
1739209726.9109921;-45.120503652039325
1739209726.910998;-33.981070128970906
1739209726.911004;-45.120503652039325
1739209726.91101;-45.120503652039325
1739209726.9110162;-38.13080360867914
1739209726.9110222;-45.120503652039325
1739209726.9110281;-31.141103565318893
1739209726.9110343;-33.981070128970906
1739209726.9110403;-45.120503652039325
1739209726.9110463;-38.13080360867914
1739209726.9110522;-31.141103565318893
1739209726.9110584;-33.981070128970906
1739209726.9110644;-45.120503652039325
1739209726.9110703;-45.120503652039325
1739209726.9110765;-45.120503652039325
1739209726.9110825;-45.120503652039325
1739209726.9110885;-45.120503652039325
1739209726.9110944;-45.120503652039325
1739209726.9111006;-45.120503652039325
1739209726.9111066;-45.120503652039325
1739209726.9111125;-38.13080360867914
1739209726.9111185;-38.13080360867914
1739209726.9111247;-38.13080360867914
1739209726.9111307;-45.120503652039325
1739209726.9111366;-38.13080360867914
1739209726.9111428;-38.13080360867914
1739209726.9111488;-32.816014438256545
1739209726.9111547;-38.13080360867914
1739209726.9111607;-45.120503652039325
1739209726.911167;-38.13080360867914
1739209726.9111729;-29.438486411369333
1739209726.9111788;-30.49652367304973
1739209726.911185;-45.120503652039325
1739209726.911191;-45.120503652039325
1739209726.911197;-38.13080360867914
1739209726.911203;-33.981070128970906
1739209726.911209;-45.120503652039325
1739209726.911215;-45.120503652039325
1739209726.911221;-38.13080360867914
1739209726.9112272;-45.120503652039325
1739209726.9112332;-45.120503652039325
1739209726.9112391;-45.120503652039325
1739209726.911245;-38.13080360867914
1739209726.9112513;-45.120503652039325
1739209726.9112573;-35.57807855764607
1739209726.9112632;-38.13080360867914
1739209726.9112692;-28.21854285175415
1739209726.9112754;-32.816014438256545
1739209726.9112813;-38.13080360867914
1739209726.9112873;-38.13080360867914
1739209726.9112935;-38.13080360867914
1739209726.9112995;-35.57807855764607
1739209726.9113054;-45.120503652039325
1739209726.9113114;-38.13080360867914
1739209726.9113176;-38.13080360867914
1739209726.9113235;-45.120503652039325
1739209726.9113295;-38.13080360867914
1739209726.9113357;-45.120503652039325
1739209726.9113417;-45.120503652039325
1739209726.9113476;-45.120503652039325
1739209726.9113536;-45.120503652039325
1739209726.9113598;-38.13080360867914
1739209726.9113657;-38.13080360867914
1739209726.9113717;-45.120503652039325
1739209726.9113777;-38.13080360867914
1739209726.9113839;-38.13080360867914
1739209726.9113898;-45.120503652039325
1739209726.9113958;-45.120503652039325
1739209726.911402;-38.13080360867914
1739209726.911408;-38.13080360867914
