CAN Message; 0x24:0fad795186508258
Timestamp;Amplitude
1739209750.873252;-45.120503652039325
1739209750.873262;-35.57807855764607
1739209750.873272;-35.57807855764607
1739209750.873282;-45.120503652039325
1739209750.8732917;-45.120503652039325
1739209750.8733017;-32.816014438256545
1739209750.8733118;-32.816014438256545
1739209750.8733218;-45.120503652039325
1739209750.8733318;-45.120503652039325
1739209750.8733418;-38.13080360867914
1739209750.8733518;-35.57807855764607
1739209750.8733618;-45.120503652039325
1739209750.8733716;-45.120503652039325
1739209750.8733816;-45.120503652039325
1739209750.8733916;-38.13080360867914
1739209750.8734016;-38.13080360867914
1739209750.8734117;-45.120503652039325
1739209750.8734217;-33.981070128970906
1739209750.8734317;-45.120503652039325
1739209750.8734417;-38.13080360867914
1739209750.8734515;-38.13080360867914
1739209750.8734615;-35.57807855764607
1739209750.8734715;-38.13080360867914
1739209750.8734815;-45.120503652039325
1739209750.8734915;-45.120503652039325
1739209750.8735015;-45.120503652039325
1739209750.8735116;-35.57807855764607
1739209750.8735216;-45.120503652039325
1739209750.8735313;-45.120503652039325
1739209750.8735414;-45.120503652039325
1739209750.8735514;-45.120503652039325
1739209750.8735614;-45.120503652039325
1739209750.8735714;-38.13080360867914
1739209750.8735814;-45.120503652039325
1739209750.8735914;-38.13080360867914
1739209750.8736014;-45.120503652039325
1739209750.8736112;-38.13080360867914
1739209750.8736212;-38.13080360867914
1739209750.8736312;-45.120503652039325
1739209750.8736413;-38.13080360867914
1739209750.8736513;-45.120503652039325
1739209750.8736613;-35.57807855764607
1739209750.8736713;-27.8777449560314
1739209750.8736813;-45.120503652039325
1739209750.873691;-45.120503652039325
1739209750.873701;-38.13080360867914
1739209750.873711;-45.120503652039325
1739209750.8737211;-45.120503652039325
1739209750.8737311;-45.120503652039325
1739209750.8737411;-45.120503652039325
1739209750.8737512;-33.981070128970956
1739209750.8737612;-33.981070128970906
1739209750.873771;-33.981070128970906
1739209750.873781;-45.120503652039325
1739209750.873791;-45.120503652039325
1739209750.873801;-38.13080360867914
1739209750.873811;-38.13080360867914
1739209750.873821;-38.13080360867914
1739209750.873831;-30.49652367304973
1739209750.873841;-38.13080360867914
1739209750.8738508;-45.120503652039325
1739209750.8738608;-35.57807855764607
1739209750.8738708;-32.816014438256545
1739209750.8738809;-45.120503652039325
1739209750.8738909;-45.120503652039325
1739209750.873901;-45.120503652039325
1739209750.873911;-45.120503652039325
1739209750.873921;-45.120503652039325
1739209750.8739307;-45.120503652039325
1739209750.8739407;-38.13080360867914
1739209750.8739507;-45.120503652039325
1739209750.8739607;-45.120503652039325
1739209750.8739707;-38.13080360867914
1739209750.8739808;-38.13080360867914
1739209750.8739908;-38.13080360867914
1739209750.8740008;-45.120503652039325
1739209750.8740106;-38.13080360867914
1739209750.8740206;-35.57807855764607
1739209750.8740306;-45.120503652039325
1739209750.8740406;-45.120503652039325
1739209750.8740506;-45.120503652039325
1739209750.8740606;-38.13080360867914
1739209750.8740706;-31.141103565318915
1739209750.8740807;-35.57807855764607
1739209750.8740904;-45.120503652039325
1739209750.8741004;-45.120503652039325
1739209750.8741105;-38.13080360867914
1739209750.8741205;-38.13080360867914
1739209750.8741305;-45.120503652039325
1739209750.8741405;-45.120503652039325
1739209750.8741505;-38.13080360867914
1739209750.8741605;-45.120503652039325
1739209750.8741703;-45.120503652039325
1739209750.8741803;-38.13080360867914
1739209750.8741903;-38.13080360867914
1739209750.8742003;-45.120503652039325
1739209750.8742104;-45.120503652039325
1739209750.8742204;-45.120503652039325
1739209750.8742304;-28.992665084841942
1739209750.8742404;-33.981070128970906
1739209750.8742502;-45.120503652039325
1739209750.8742602;-38.13080360867914
1739209750.8742702;-33.981070128970906
1739209750.8742802;-38.13080360867914
1739209750.8742902;-45.120503652039325
1739209750.8743002;-35.57807855764607
1739209750.8743103;-32.816014438256545
1739209750.8743203;-33.981070128970906
1739209750.87433;-45.120503652039325
1739209750.87434;-45.120503652039325
1739209750.87435;-45.120503652039325
1739209750.87436;-45.120503652039325
1739209750.87437;-45.120503652039325
1739209750.87438;-33.981070128970906
1739209750.8743901;-28.992665084841942
1739209750.8744001;-28.992665084841942
1739209750.87441;-38.13080360867914
1739209750.87442;-38.13080360867914
1739209750.87443;-31.141103565318915
1739209750.87444;-38.13080360867914
1739209750.87445;-45.120503652039325
1739209750.87446;-35.57807855764607
1739209750.87447;-33.981070128970906
1739209750.87448;-38.13080360867914
1739209750.8744898;-45.120503652039325
1739209750.8744998;-38.13080360867914
1739209750.8745098;-35.57807855764607
1739209750.8745198;-38.13080360867914
1739209750.8745298;-45.120503652039325
1739209750.8745399;-38.13080360867914
1739209750.8745499;-33.981070128970906
1739209750.8745599;-38.13080360867914
1739209750.87457;-45.120503652039325
1739209750.8745797;-45.120503652039325
1739209750.8745897;-45.120503652039325
1739209750.8745997;-38.13080360867914
1739209750.8746097;-45.120503652039325
1739209750.8746197;-38.13080360867914
1739209750.8746297;-45.120503652039325
1739209750.8746397;-38.13080360867914
1739209750.8746498;-38.13080360867914
1739209750.8746595;-45.120503652039325
1739209750.8746696;-38.13080360867914
1739209750.8746796;-38.13080360867914
1739209750.8746896;-38.13080360867914
1739209750.8746996;-45.120503652039325
1739209750.8747096;-38.13080360867914
1739209750.8747196;-38.13080360867914
1739209750.8747296;-45.120503652039325
1739209750.8747394;-45.120503652039325
1739209750.8747494;-38.13080360867914
1739209750.8747594;-45.120503652039325
1739209750.8747694;-45.120503652039325
1739209750.8747795;-38.13080360867914
1739209750.8747895;-45.120503652039325
1739209750.8747995;-33.981070128970906
1739209750.8748095;-38.13080360867914
1739209750.8748193;-45.120503652039325
1739209750.8748293;-45.120503652039325
1739209750.8748393;-35.57807855764607
1739209750.8748493;-38.13080360867914
1739209750.8748593;-45.120503652039325
1739209750.8748693;-38.13080360867914
1739209750.8748794;-33.981070128970906
1739209750.8748894;-38.13080360867914
