CAN Message; 0x24:03ae39debb1c3222
Timestamp;Amplitude
1739209626.214271;-35.57807855764607
1739209626.214273;-45.120503652039325
1739209626.2142746;-33.981070128970906
1739209626.2142766;-38.13080360867914
1739209626.2142785;-45.120503652039325
1739209626.2142804;-45.120503652039325
1739209626.2142823;-45.120503652039325
1739209626.2142842;-38.13080360867914
1739209626.2142859;-45.120503652039325
1739209626.2142878;-33.981070128970906
1739209626.2142897;-35.57807855764607
1739209626.2142916;-38.13080360867914
1739209626.2142935;-35.57807855764607
1739209626.2142954;-38.13080360867914
1739209626.214297;-35.57807855764607
1739209626.214299;-38.13080360867914
1739209626.2143009;-35.57807855764607
1739209626.2143028;-38.13080360867914
1739209626.2143047;-35.57807855764607
1739209626.2143066;-38.13080360867914
1739209626.2143083;-35.57807855764607
1739209626.2143102;-45.120503652039325
1739209626.214312;-35.57807855764607
1739209626.214314;-45.120503652039325
1739209626.214316;-38.13080360867914
1739209626.2143178;-38.13080360867914
1739209626.2143195;-38.13080360867914
1739209626.2143214;-45.120503652039325
1739209626.2143233;-45.120503652039325
1739209626.2143252;-38.13080360867914
1739209626.214327;-45.120503652039325
1739209626.2143288;-38.13080360867914
1739209626.2143307;-38.13080360867914
1739209626.2143326;-33.981070128970906
1739209626.2143345;-45.120503652039325
1739209626.2143364;-35.57807855764607
1739209626.2143383;-25.826314394896354
1739209626.21434;-38.13080360867914
1739209626.2143419;-45.120503652039325
1739209626.2143438;-38.13080360867914
1739209626.2143457;-29.438486411369333
1739209626.2143476;-45.120503652039325
1739209626.2143495;-45.120503652039325
1739209626.2143512;-38.13080360867914
1739209626.214353;-45.120503652039325
1739209626.214355;-45.120503652039325
1739209626.214357;-45.120503652039325
1739209626.2143588;-38.13080360867914
1739209626.2143607;-45.120503652039325
1739209626.2143624;-45.120503652039325
1739209626.2143643;-45.120503652039325
1739209626.2143662;-38.13080360867914
1739209626.214368;-32.816014438256545
1739209626.21437;-38.13080360867914
1739209626.2143717;-38.13080360867914
1739209626.2143736;-35.57807855764607
1739209626.2143755;-38.13080360867914
1739209626.2143774;-38.13080360867914
1739209626.2143793;-38.13080360867914
1739209626.2143812;-45.120503652039325
1739209626.214383;-33.981070128970906
1739209626.2143848;-33.981070128970906
1739209626.2143867;-45.120503652039325
1739209626.2143886;-45.120503652039325
1739209626.2143905;-45.120503652039325
1739209626.2143924;-45.120503652039325
1739209626.214394;-38.13080360867914
1739209626.214396;-38.13080360867914
1739209626.214398;-33.981070128970956
1739209626.2143998;-38.13080360867914
1739209626.2144017;-38.13080360867914
1739209626.2144036;-38.13080360867914
1739209626.2144053;-45.120503652039325
1739209626.2144072;-35.57807855764607
1739209626.214409;-35.57807855764607
1739209626.214411;-45.120503652039325
1739209626.214413;-28.58837851428586
1739209626.2144148;-38.13080360867914
1739209626.2144165;-38.13080360867914
1739209626.2144184;-38.13080360867914
1739209626.2144203;-45.120503652039325
1739209626.2144222;-38.13080360867914
1739209626.2144241;-38.13080360867914
1739209626.2144258;-38.13080360867914
1739209626.2144277;-38.13080360867914
1739209626.2144296;-45.120503652039325
1739209626.2144315;-38.13080360867914
1739209626.2144334;-38.13080360867914
1739209626.2144353;-38.13080360867914
1739209626.214437;-38.13080360867914
