CAN Message; 0x62:0a667bcbeb75d329
Timestamp;Amplitude
1739209665.9238827;-38.13080360867914
1739209665.923888;-38.13080360867914
1739209665.9238932;-35.57807855764607
1739209665.9238985;-45.120503652039325
1739209665.9239037;-38.13080360867914
1739209665.923909;-31.141103565318915
1739209665.9239144;-38.13080360867914
1739209665.9239197;-45.120503652039325
1739209665.923925;-45.120503652039325
1739209665.9239302;-45.120503652039325
1739209665.9239354;-38.13080360867914
1739209665.9239407;-38.13080360867914
1739209665.923946;-45.120503652039325
1739209665.9239511;-35.57807855764607
1739209665.9239564;-45.120503652039325
1739209665.9239616;-45.120503652039325
1739209665.923967;-38.13080360867914
1739209665.9239721;-38.13080360867914
1739209665.9239774;-35.57807855764607
1739209665.9239829;-38.13080360867914
1739209665.923988;-38.13080360867914
1739209665.9239933;-28.992665084841942
1739209665.9239986;-38.13080360867914
1739209665.9240038;-38.13080360867914
1739209665.924009;-38.13080360867914
1739209665.9240143;-33.981070128970906
1739209665.9240196;-38.13080360867914
1739209665.9240248;-38.13080360867914
1739209665.92403;-45.120503652039325
1739209665.9240353;-35.57807855764607
1739209665.9240406;-45.120503652039325
1739209665.9240458;-45.120503652039325
1739209665.9240513;-45.120503652039325
1739209665.9240565;-45.120503652039325
1739209665.9240618;-38.13080360867914
1739209665.924067;-45.120503652039325
1739209665.9240723;-35.57807855764607
1739209665.9240775;-28.992665084841942
1739209665.9240828;-38.13080360867914
1739209665.924088;-35.57807855764607
1739209665.9240932;-35.57807855764607
1739209665.9240985;-38.13080360867914
1739209665.9241037;-45.120503652039325
1739209665.924109;-35.57807855764607
1739209665.9241142;-38.13080360867914
1739209665.9241197;-38.13080360867914
1739209665.924125;-45.120503652039325
1739209665.9241302;-38.13080360867914
1739209665.9241354;-38.13080360867914
1739209665.9241407;-38.13080360867914
1739209665.924146;-45.120503652039325
1739209665.9241512;-45.120503652039325
1739209665.9241564;-38.13080360867914
1739209665.9241617;-32.816014438256545
1739209665.924167;-45.120503652039325
1739209665.9241722;-38.13080360867914
1739209665.9241774;-38.13080360867914
1739209665.9241827;-38.13080360867914
1739209665.924188;-45.120503652039325
1739209665.9241934;-35.57807855764607
1739209665.9241986;-38.13080360867914
1739209665.9242039;-45.120503652039325
1739209665.924209;-45.120503652039325
1739209665.9242144;-38.13080360867914
1739209665.9242196;-35.57807855764607
1739209665.9242249;-38.13080360867914
1739209665.92423;-45.120503652039325
1739209665.9242353;-33.981070128970906
1739209665.9242406;-35.57807855764607
1739209665.9242458;-45.120503652039325
1739209665.924251;-45.120503652039325
1739209665.9242563;-38.13080360867914
1739209665.9242618;-38.13080360867914
1739209665.924267;-45.120503652039325
1739209665.9242723;-45.120503652039325
1739209665.9242775;-38.13080360867914
1739209665.9242828;-45.120503652039325
1739209665.924288;-32.816014438256545
1739209665.9242933;-32.816014438256545
1739209665.9242985;-38.13080360867914
1739209665.9243038;-35.57807855764607
1739209665.924309;-35.57807855764607
1739209665.9243143;-38.13080360867914
1739209665.9243195;-38.13080360867914
1739209665.9243248;-30.49652367304973
1739209665.9243302;-45.120503652039325
1739209665.9243355;-38.13080360867914
1739209665.9243407;-38.13080360867914
1739209665.924346;-38.13080360867914
1739209665.9243512;-45.120503652039325
1739209665.9243565;-38.13080360867914
1739209665.9243617;-38.13080360867914
1739209665.924367;-45.120503652039325
1739209665.9243722;-32.816014438256545
1739209665.9243774;-29.438486411369333
1739209665.9243827;-38.13080360867914
1739209665.924388;-38.13080360867914
1739209665.9243932;-38.13080360867914
1739209665.9243987;-38.13080360867914
1739209665.924404;-38.13080360867914
1739209665.9244092;-38.13080360867914
1739209665.9244144;-45.120503652039325
1739209665.9244196;-38.13080360867914
1739209665.924425;-38.13080360867914
1739209665.9244301;-45.120503652039325
1739209665.9244354;-45.120503652039325
1739209665.9244406;-38.13080360867914
1739209665.9244459;-35.57807855764607
1739209665.924451;-38.13080360867914
1739209665.9244564;-45.120503652039325
1739209665.9244616;-35.57807855764607
1739209665.924467;-45.120503652039325
1739209665.9244723;-38.13080360867914
1739209665.9244776;-38.13080360867914
1739209665.9244828;-45.120503652039325
1739209665.924488;-45.120503652039325
1739209665.9244933;-38.13080360867914
1739209665.9244986;-38.13080360867914
1739209665.9245038;-38.13080360867914
1739209665.924509;-38.13080360867914
1739209665.9245143;-45.120503652039325
1739209665.9245195;-38.13080360867914
1739209665.9245248;-32.816014438256545
1739209665.92453;-45.120503652039325
1739209665.9245355;-45.120503652039325
1739209665.9245408;-38.13080360867914
1739209665.924546;-45.120503652039325
1739209665.9245512;-38.13080360867914
1739209665.9245565;-38.13080360867914
1739209665.9245617;-33.981070128970906
1739209665.924567;-45.120503652039325
1739209665.9245722;-33.981070128970906
1739209665.9245775;-45.120503652039325
1739209665.9245827;-38.13080360867914
1739209665.924588;-32.816014438256545
1739209665.9245932;-38.13080360867914
1739209665.9245985;-35.57807855764607
1739209665.924604;-45.120503652039325
1739209665.9246092;-32.816014438256545
1739209665.9246144;-33.981070128970906
1739209665.9246197;-38.13080360867914
1739209665.924625;-38.13080360867914
1739209665.9246302;-45.120503652039325
1739209665.9246354;-45.120503652039325
1739209665.9246407;-45.120503652039325
1739209665.924646;-45.120503652039325
1739209665.9246511;-38.13080360867914
1739209665.9246564;-38.13080360867914
1739209665.9246616;-45.120503652039325
1739209665.924667;-38.13080360867914
1739209665.9246724;-33.981070128970906
1739209665.9246776;-45.120503652039325
1739209665.9246829;-45.120503652039325
1739209665.924688;-45.120503652039325
1739209665.9246933;-45.120503652039325
